Identifier,Property Address,City,State,Zip,Y,X,Council District,Property Type,Square Footage
NOR900618,"1431 CHARBONNET ST/46512 CHARBONNET ST","New Orleans","LA","70117","29.96407558000044","-90.01280027499968",E,VACANT LOT,3751.5
NOR900619,"1503 LESSEPS ST","New Orleans","LA","70117","29.96912176200044","-90.03127995899968",D,STRUCTURE,3397.95
NOR900620,"47538 FORSTALL ST 1718 FORSTALL","New Orleans","LA","70117","29.96990075500048","-90.03053993999964",E,VACANT LOT,2436.65
NOR900621,"2104 S JOHNSON ST","New Orleans","LA","70125","29.94827733800048","-90.09238483199965",B,VACANT LOT,3020.12
NOR900622,"2517 WASHINGTON AVE","New Orleans","LA","70113","29.938869574000478","-90.09179736499965",B,VACANT LOT,2574.73
NOR900623,"2701 S PRIEUR ST","New Orleans","LA","70125","29.94538501000045","-90.09567393799966",B,VACANT LOT,1836.14
NOR900626,"3333-3335 FELICIANA ST","New Orleans","LA","70126","29.98637272500048","-90.03945567599965",E,VACANT LOT,3829.1
NOR900627,"4032 VELIE ST","New Orleans","LA","70126","30.000998961000448","-90.04193253899967",D,VACANT LOT,1689.48
NOR900629,"47750 ANDRY ST","New Orleans","LA","70117","29.955161232000478","-90.02073675199966",E,VACANT LOT,7774.92
NOR900631,"48146 LIZARDI ST","New Orleans","LA","70117","29.95632147800046","-90.02250811999966",E,VACANT LOT,2910.62
NOR900632,"4820 N. JOHNSON ST","New Orleans","LA","70117","29.972364379000453","-90.02180994699967",E,VACANT LOT,6630.7
NOR900633,"5006 N ROMAN ST","New Orleans","LA","70117","29.969653562000474","-90.01966682299968",E,VACANT LOT,3599.54
NOR900635,"5425 N VILLERE ST","New Orleans","LA","70117","29.964647063000484","-90.01691425599967",E,VACANT LOT,6440.24
NOR900636,"5434 N ROMAN ST","New Orleans","LA","70117","29.968643260000476","-90.01518620199965",E,VACANT LOT,3542.5
NOR900637,"8828 BELFAST ST","New Orleans","LA","70118","29.96335842500048","-90.12459840399964",A,VACANT LOT,4696.26
NOR900649,"2700 PAINTERS ST","New Orleans","LA","70122","29.986347815000443","-90.05016181599967",D,VACANT LOT,4900.82
NOR900653,"2322 EADS ST","New Orleans","LA","70117","29.98187785400046","-90.0475419019997",D,VACANT LOT,4321.48
NOR900654,"2709 ARTS ST","New Orleans","LA","70117","29.986523107000437","-90.05123962899967",D,VACANT LOT,4392.07
NOR900660,"6894 PARC BRITTANY","New Orleans","LA","70126","30.02741366300046","-90.00012169599967",D,VACANT LOT,2338.25
NOR900661,"2114 BENTON","New Orleans","LA","70117","29.970733743000437","-90.00848836499966",E,VACANT LOT,3341.29
